Log file created at  2020-11-24 14:23:37
Run script: main_Meta_Bayes.py
Parameters:
Namespace(K_Shot_MetaTest=100, K_Shot_MetaTrain=100, N_Way=5, batch_size=128, chars_split_type='random', complexity_type='PAC_Bayes_variational_role', data_path='/home/tianyliu/PycharmProjects/Meta_Learning_Paper_Code/MAML_FirstVersion_Modify_B/ML_data_sets', data_source='MNIST', data_transform='Shuffled_Pixels', limit_train_samples_in_test_tasks=0, load_model_path='', loss_type='CrossEntropy', lr=0.001, meta_batch_size=16, mode='MetaTrain', model_name='FcNet3', n_inner_steps=50, n_meta_test_epochs=20, n_meta_train_chars=1200, n_meta_train_classes=500, n_meta_train_epochs=50, n_pixels_shuffles=200, n_test_tasks=20, n_train_tasks=10, result_dir='saved/ShuffledPixels200_TasksN/10', run_name='ShuffledPixels200_TasksN/10', seed=1, test_batch_size=128)
--------------------------------------------------
--- Generating 10 training-tasks
Stochastic-FcNet3
---- Meta-Training set: 10 tasks
(9.7%)	Epoch: 4 	 Batch: 250 	 Objective: 1.214 	  Acc: 0.96	 Empiric-Loss: 0.1193	 Task-Comp. 0.2535	 Meta-Comp.: 0.8408
(10.0%)	Epoch: 5 	 Batch: 0 	 Objective: 1.238 	  Acc: 0.954	 Empiric-Loss: 0.1415	 Task-Comp. 0.2563	 Meta-Comp.: 0.8401
(10.3%)	Epoch: 5 	 Batch: 50 	 Objective: 1.199 	  Acc: 0.967	 Empiric-Loss: 0.1102	 Task-Comp. 0.2495	 Meta-Comp.: 0.8394
(10.7%)	Epoch: 5 	 Batch: 100 	 Objective: 1.208 	  Acc: 0.959	 Empiric-Loss: 0.1227	 Task-Comp. 0.2464	 Meta-Comp.: 0.8386
(11.0%)	Epoch: 5 	 Batch: 150 	 Objective: 1.186 	  Acc: 0.963	 Empiric-Loss: 0.1033	 Task-Comp. 0.2446	 Meta-Comp.: 0.8379
(11.4%)	Epoch: 5 	 Batch: 200 	 Objective: 1.165 	  Acc: 0.972	 Empiric-Loss: 0.08228	 Task-Comp. 0.2457	 Meta-Comp.: 0.8371
(11.7%)	Epoch: 5 	 Batch: 250 	 Objective: 1.179 	  Acc: 0.964	 Empiric-Loss: 0.1015	 Task-Comp. 0.2411	 Meta-Comp.: 0.8363
(12.0%)	Epoch: 6 	 Batch: 0 	 Objective: 1.19 	  Acc: 0.966	 Empiric-Loss: 0.1065	 Task-Comp. 0.2482	 Meta-Comp.: 0.8356
(12.3%)	Epoch: 6 	 Batch: 50 	 Objective: 1.166 	  Acc: 0.968	 Empiric-Loss: 0.08839	 Task-Comp. 0.2428	 Meta-Comp.: 0.8348
(12.7%)	Epoch: 6 	 Batch: 100 	 Objective: 1.167 	  Acc: 0.965	 Empiric-Loss: 0.09546	 Task-Comp. 0.2375	 Meta-Comp.: 0.834
(13.0%)	Epoch: 6 	 Batch: 150 	 Objective: 1.145 	  Acc: 0.975	 Empiric-Loss: 0.07535	 Task-Comp. 0.2361	 Meta-Comp.: 0.8332
(13.4%)	Epoch: 6 	 Batch: 200 	 Objective: 1.143 	  Acc: 0.975	 Empiric-Loss: 0.0776	 Task-Comp. 0.2327	 Meta-Comp.: 0.8324
(13.7%)	Epoch: 6 	 Batch: 250 	 Objective: 1.137 	  Acc: 0.977	 Empiric-Loss: 0.07399	 Task-Comp. 0.2317	 Meta-Comp.: 0.8315
(14.0%)	Epoch: 7 	 Batch: 0 	 Objective: 1.172 	  Acc: 0.967	 Empiric-Loss: 0.1008	 Task-Comp. 0.2407	 Meta-Comp.: 0.8308
(14.3%)	Epoch: 7 	 Batch: 50 	 Objective: 1.145 	  Acc: 0.971	 Empiric-Loss: 0.08321	 Task-Comp. 0.232	 Meta-Comp.: 0.8299
(14.7%)	Epoch: 7 	 Batch: 100 	 Objective: 1.14 	  Acc: 0.973	 Empiric-Loss: 0.08278	 Task-Comp. 0.2278	 Meta-Comp.: 0.829
