Log file created at  2020-11-25 09:30:43
Run script: main_Meta_Bayes.py
Parameters:
Namespace(K_Shot_MetaTest=100, K_Shot_MetaTrain=100, N_Way=5, batch_size=128, chars_split_type='random', complexity_type='NewBoundSeeger', data_path='/home/tianyliu/PycharmProjects/Meta_Learning_Paper_Code/MAML_FirstVersion_Modify_B/ML_data_sets', data_source='MNIST', data_transform='Permute_Labels', limit_train_samples_in_test_tasks=0, load_model_path='', loss_type='CrossEntropy', lr=0.001, meta_batch_size=16, mode='MetaTrain', model_name='ConvNet3', n_inner_steps=50, n_meta_test_epochs=20, n_meta_train_chars=1200, n_meta_train_classes=500, n_meta_train_epochs=50, n_pixels_shuffles=200, n_test_tasks=20, n_train_tasks=10, result_dir='saved/PermutedLabels_TasksN/10', run_name='PermutedLabels_TasksN/10', seed=1, test_batch_size=128)
--------------------------------------------------
--- Generating 10 training-tasks
Stochastic-ConvNet3
---- Meta-Training set: 10 tasks
(2.3%)	Epoch: 1 	 Batch: 50 	 Objective: 3.021 	  Acc: 0.101	 Empiric-Loss: 2.302	 Task-Comp. 0.1626	 Meta-Comp.: 0.5562
(2.0%)	Epoch: 1 	 Batch: 0 	 Objective: 3.029 	  Acc: 0.109	 Empiric-Loss: 2.302	 Task-Comp. 0.1713	 Meta-Comp.: 0.5562
(3.7%)	Epoch: 1 	 Batch: 250 	 Objective: 1.464 	  Acc: 0.914	 Empiric-Loss: 0.3152	 Task-Comp. 0.5934	 Meta-Comp.: 0.5555
(3.0%)	Epoch: 1 	 Batch: 150 	 Objective: 2.064 	  Acc: 0.865	 Empiric-Loss: 0.4897	 Task-Comp. 0.5283	 Meta-Comp.: 0.5561
(5.4%)	Epoch: 2 	 Batch: 200 	 Objective: 1.249 	  Acc: 0.932	 Empiric-Loss: 0.266	 Task-Comp. 0.4272	 Meta-Comp.: 0.5553
(2.7%)	Epoch: 1 	 Batch: 100 	 Objective: 3.021 	  Acc: 0.0947	 Empiric-Loss: 2.303	 Task-Comp. 0.1626	 Meta-Comp.: 0.5562
(4.0%)	Epoch: 2 	 Batch: 0 	 Objective: 1.39 	  Acc: 0.927	 Empiric-Loss: 0.2826	 Task-Comp. 0.5516	 Meta-Comp.: 0.5555
(2.3%)	Epoch: 1 	 Batch: 50 	 Objective: 3.025 	  Acc: 0.0991	 Empiric-Loss: 2.302	 Task-Comp. 0.1661	 Meta-Comp.: 0.5562
(3.4%)	Epoch: 1 	 Batch: 200 	 Objective: 1.913 	  Acc: 0.875	 Empiric-Loss: 0.4367	 Task-Comp. 0.4838	 Meta-Comp.: 0.5561
(5.7%)	Epoch: 2 	 Batch: 250 	 Objective: 1.204 	  Acc: 0.928	 Empiric-Loss: 0.2474	 Task-Comp. 0.4018	 Meta-Comp.: 0.5553
(3.0%)	Epoch: 1 	 Batch: 150 	 Objective: 3.021 	  Acc: 0.0991	 Empiric-Loss: 2.302	 Task-Comp. 0.1623	 Meta-Comp.: 0.5562
(4.3%)	Epoch: 2 	 Batch: 50 	 Objective: 1.374 	  Acc: 0.92	 Empiric-Loss: 0.2922	 Task-Comp. 0.5262	 Meta-Comp.: 0.5554
(2.7%)	Epoch: 1 	 Batch: 100 	 Objective: 3.025 	  Acc: 0.0947	 Empiric-Loss: 2.303	 Task-Comp. 0.1663	 Meta-Comp.: 0.5562
(6.0%)	Epoch: 3 	 Batch: 0 	 Objective: 1.214 	  Acc: 0.924	 Empiric-Loss: 0.2798	 Task-Comp. 0.379	 Meta-Comp.: 0.5552
(3.7%)	Epoch: 1 	 Batch: 250 	 Objective: 1.832 	  Acc: 0.882	 Empiric-Loss: 0.4168	 Task-Comp. 0.4422	 Meta-Comp.: 0.556
(3.4%)	Epoch: 1 	 Batch: 200 	 Objective: 3.019 	  Acc: 0.113	 Empiric-Loss: 2.302	 Task-Comp. 0.1614	 Meta-Comp.: 0.5562
(4.7%)	Epoch: 2 	 Batch: 100 	 Objective: 1.323 	  Acc: 0.924	 Empiric-Loss: 0.2765	 Task-Comp. 0.4917	 Meta-Comp.: 0.5554
(3.0%)	Epoch: 1 	 Batch: 150 	 Objective: 3.025 	  Acc: 0.102	 Empiric-Loss: 2.303	 Task-Comp. 0.1661	 Meta-Comp.: 0.5562
(4.0%)	Epoch: 2 	 Batch: 0 	 Objective: 1.7 	  Acc: 0.895	 Empiric-Loss: 0.3665	 Task-Comp. 0.411	 Meta-Comp.: 0.556
(6.3%)	Epoch: 3 	 Batch: 50 	 Objective: 1.183 	  Acc: 0.931	 Empiric-Loss: 0.2625	 Task-Comp. 0.3651	 Meta-Comp.: 0.5552
(3.7%)	Epoch: 1 	 Batch: 250 	 Objective: 3.02 	  Acc: 0.102	 Empiric-Loss: 2.302	 Task-Comp. 0.1621	 Meta-Comp.: 0.5562
(5.0%)	Epoch: 2 	 Batch: 150 	 Objective: 1.319 	  Acc: 0.916	 Empiric-Loss: 0.3019	 Task-Comp. 0.4619	 Meta-Comp.: 0.5553
(3.4%)	Epoch: 1 	 Batch: 200 	 Objective: 3.024 	  Acc: 0.111	 Empiric-Loss: 2.302	 Task-Comp. 0.1652	 Meta-Comp.: 0.5562
(4.3%)	Epoch: 2 	 Batch: 50 	 Objective: 1.627 	  Acc: 0.908	 Empiric-Loss: 0.3426	 Task-Comp. 0.3859	 Meta-Comp.: 0.556
(6.7%)	Epoch: 3 	 Batch: 100 	 Objective: 1.138 	  Acc: 0.93	 Empiric-Loss: 0.2435	 Task-Comp. 0.339	 Meta-Comp.: 0.5551
(4.0%)	Epoch: 2 	 Batch: 0 	 Objective: 3.023 	  Acc: 0.116	 Empiric-Loss: 2.301	 Task-Comp. 0.1658	 Meta-Comp.: 0.5562
(5.4%)	Epoch: 2 	 Batch: 200 	 Objective: 1.249 	  Acc: 0.932	 Empiric-Loss: 0.266	 Task-Comp. 0.4272	 Meta-Comp.: 0.5553
(3.7%)	Epoch: 1 	 Batch: 250 	 Objective: 3.024 	  Acc: 0.101	 Empiric-Loss: 2.302	 Task-Comp. 0.1659	 Meta-Comp.: 0.5562
(4.7%)	Epoch: 2 	 Batch: 100 	 Objective: 1.591 	  Acc: 0.902	 Empiric-Loss: 0.3343	 Task-Comp. 0.3659	 Meta-Comp.: 0.556
(7.0%)	Epoch: 3 	 Batch: 150 	 Objective: 1.095 	  Acc: 0.94	 Empiric-Loss: 0.2147	 Task-Comp. 0.3252	 Meta-Comp.: 0.5551
(4.3%)	Epoch: 2 	 Batch: 50 	 Objective: 3.018 	  Acc: 0.115	 Empiric-Loss: 2.3	 Task-Comp. 0.1615	 Meta-Comp.: 0.5562
(4.0%)	Epoch: 2 	 Batch: 0 	 Objective: 3.028 	  Acc: 0.107	 Empiric-Loss: 2.302	 Task-Comp. 0.1698	 Meta-Comp.: 0.5562
(5.7%)	Epoch: 2 	 Batch: 250 	 Objective: 1.204 	  Acc: 0.928	 Empiric-Loss: 0.2473	 Task-Comp. 0.4019	 Meta-Comp.: 0.5553
(5.0%)	Epoch: 2 	 Batch: 150 	 Objective: 1.597 	  Acc: 0.907	 Empiric-Loss: 0.3452	 Task-Comp. 0.3509	 Meta-Comp.: 0.556
(7.4%)	Epoch: 3 	 Batch: 200 	 Objective: 1.099 	  Acc: 0.931	 Empiric-Loss: 0.2334	 Task-Comp. 0.3108	 Meta-Comp.: 0.5551
(4.7%)	Epoch: 2 	 Batch: 100 	 Objective: 3.017 	  Acc: 0.128	 Empiric-Loss: 2.299	 Task-Comp. 0.1614	 Meta-Comp.: 0.5562
(6.0%)	Epoch: 3 	 Batch: 0 	 Objective: 1.214 	  Acc: 0.924	 Empiric-Loss: 0.2797	 Task-Comp. 0.3791	 Meta-Comp.: 0.5552
(4.3%)	Epoch: 2 	 Batch: 50 	 Objective: 3.023 	  Acc: 0.111	 Empiric-Loss: 2.302	 Task-Comp. 0.1655	 Meta-Comp.: 0.5562
(5.4%)	Epoch: 2 	 Batch: 200 	 Objective: 1.479 	  Acc: 0.922	 Empiric-Loss: 0.2963	 Task-Comp. 0.3307	 Meta-Comp.: 0.556
(7.7%)	Epoch: 3 	 Batch: 250 	 Objective: 1.058 	  Acc: 0.941	 Empiric-Loss: 0.2169	 Task-Comp. 0.2861	 Meta-Comp.: 0.555
(5.0%)	Epoch: 2 	 Batch: 150 	 Objective: 3.017 	  Acc: 0.125	 Empiric-Loss: 2.299	 Task-Comp. 0.1616	 Meta-Comp.: 0.5562
(6.3%)	Epoch: 3 	 Batch: 50 	 Objective: 1.183 	  Acc: 0.932	 Empiric-Loss: 0.2625	 Task-Comp. 0.3652	 Meta-Comp.: 0.5552
(4.7%)	Epoch: 2 	 Batch: 100 	 Objective: 3.023 	  Acc: 0.113	 Empiric-Loss: 2.301	 Task-Comp. 0.1654	 Meta-Comp.: 0.5562
(8.0%)	Epoch: 4 	 Batch: 0 	 Objective: 1.062 	  Acc: 0.934	 Empiric-Loss: 0.222	 Task-Comp. 0.2848	 Meta-Comp.: 0.555
(5.7%)	Epoch: 2 	 Batch: 250 	 Objective: 1.445 	  Acc: 0.916	 Empiric-Loss: 0.2867	 Task-Comp. 0.3153	 Meta-Comp.: 0.5559
(5.4%)	Epoch: 2 	 Batch: 200 	 Objective: 3.01 	  Acc: 0.154	 Empiric-Loss: 2.293	 Task-Comp. 0.1614	 Meta-Comp.: 0.5562
(6.7%)	Epoch: 3 	 Batch: 100 	 Objective: 1.138 	  Acc: 0.93	 Empiric-Loss: 0.2435	 Task-Comp. 0.3391	 Meta-Comp.: 0.5551
(5.0%)	Epoch: 2 	 Batch: 150 	 Objective: 3.024 	  Acc: 0.108	 Empiric-Loss: 2.302	 Task-Comp. 0.1657	 Meta-Comp.: 0.5562
(6.0%)	Epoch: 3 	 Batch: 0 	 Objective: 1.461 	  Acc: 0.912	 Empiric-Loss: 0.2983	 Task-Comp. 0.3087	 Meta-Comp.: 0.5559
(8.3%)	Epoch: 4 	 Batch: 50 	 Objective: 1.067 	  Acc: 0.934	 Empiric-Loss: 0.2371	 Task-Comp. 0.2752	 Meta-Comp.: 0.555
(5.7%)	Epoch: 2 	 Batch: 250 	 Objective: 2.996 	  Acc: 0.188	 Empiric-Loss: 2.277	 Task-Comp. 0.1624	 Meta-Comp.: 0.5562
(7.0%)	Epoch: 3 	 Batch: 150 	 Objective: 1.095 	  Acc: 0.94	 Empiric-Loss: 0.2147	 Task-Comp. 0.3253	 Meta-Comp.: 0.5551
(5.4%)	Epoch: 2 	 Batch: 200 	 Objective: 3.023 	  Acc: 0.101	 Empiric-Loss: 2.301	 Task-Comp. 0.1653	 Meta-Comp.: 0.5562
